WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,87,2.13,77,7,1.01,3.5,2.09,112538.5,5639.03,5645.9
0.65,98,2.13,87,9.38,1.44,31.02,2.03,135838.02,5613.6,5617.77
0.65,32,2.14,28,21.58,0.5,17.04,5.7,70107.04,5595.5,5606
0.65,32,2.14,28,6.6,0.7,2.02,1.5,222447.02,5606.2,5611.36
0.65,32,2.14,28,13.08,5,22.05,3.01,202020.05,5438.9,5450
0.65,48,2.14,42,5.24,0.2,40.02,0.89,193739.02,5607.64,5612.93
0.65,50,2.14,44,9.98,3.7,127.03,2.01,182052.03,5454.19,5459.96
0.65,90,2.14,79,6.56,4.83,58.02,2.6,124308.02,5697.53,5704.69
0.65,38,2.15,33,11.24,2.97,19.02,2.7,123429.02,5688.1,5695.48
0.65,38,2.15,33,3.98,4.6,93.04,2.29,144652.04,5603.39,5606.48
0.65,39,2.15,34,4.65,0.49,33.02,1.6,174159.02,5608.36,5612.48
0.65,29,2.16,25,10.55,1.3,9.02,3.58,120932.02,5413.26,5422.35
0.65,27,2.17,23,5.02,3.01,1.08,2.05,60136.08,5599.5,5606
0.65,34,2.17,29,4.25,1.58,66.03,2.46,180443.03,5467.86,5474.47
0.65,34,2.17,29,22.4,3.8,6.05,5.9,233203.05,5448.8,5467.5
0.65,35,2.17,30,5.6,4.03,4.1,4.01,113921.1,5576.01,5585.04
0.65,42,2.17,36,6.5,4,4.07,2.8,53524.07,5646.8,5653.7
0.65,69,2.17,59,4.03,3.03,2.1,1.6,70001.1,5611.09,5616.02
0.65,31,2.19,26,7.3,5.1,8.6,3.01,64600.6,5428.02,5438.04
